File,Line,Severity,Category,Issue,Fix,Est_Hours
control-plane/db/migrations/001_orgs.sql,9,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ NOT NULL,0.5
control-plane/db/migrations/001_orgs.sql,15,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ NOT NULL,0.5
control-plane/db/migrations/001_orgs.sql,22,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ NOT NULL,0.5
control-plane/db/migrations/001_orgs.sql,34,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ NULLABLE,0.5
domains/content/db/migrations/001_init.sql,12-15,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/content/db/migrations/002_domain_scoped.sql,5-7,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/content/db/migrations/002_domain_scoped.sql,17,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/content/db/migrations/002_domain_scoped.sql,32,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/content/db/migrations/005_revisions.sql,7,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/authors/db/migrations/001_init.sql,18-19,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/customers/db/migrations/001_init.sql,17-18,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/domains/db/migrations/001_init.sql,7-9,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/domains/db/migrations/001_init.sql,25-27,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/domains/db/migrations/001_init.sql,37-38,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/media/db/migrations/003_storage_lifecycle.sql,3,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/diligence/db/migrations/001_init.sql,7-9,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/notifications/db/migrations/001_init.sql,10,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/notifications/db/migrations/001_init.sql,19,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/notifications/db/migrations/001_init.sql,28,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/notifications/db/migrations/002_dlq.sql,7,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/publishing/db/migrations/001_init.sql,8,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/publishing/db/migrations/001_init.sql,17,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/publishing/db/migrations/001_init.sql,27,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/search/db/migrations/001_init.sql,8,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/search/db/migrations/001_init.sql,16,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/search/db/migrations/001_init.sql,26,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
domains/activity/db/migrations/001_init.sql,11,CRITICAL,TIMESTAMP,TIMESTAMP without timezone,Change to TIMESTAMPTZ,0.5
control-plane/db/migrations/004_billing.sql,12,CRITICAL,FOREIGN_KEY,Missing ON DELETE CASCADE,Add ON DELETE CASCADE,0.5
control-plane/db/migrations/004_billing.sql,13,CRITICAL,FOREIGN_KEY,Missing ON DELETE action,Add ON DELETE SET NULL,0.5
control-plane/db/migrations/005_usage.sql,3,CRITICAL,FOREIGN_KEY,Missing ON DELETE CASCADE,Add ON DELETE CASCADE,0.5
control-plane/db/migrations/006_onboarding.sql,3,CRITICAL,FOREIGN_KEY,Missing ON DELETE CASCADE,Add ON DELETE CASCADE,0.5
control-plane/db/migrations/007_guardrails.sql,10,CRITICAL,FOREIGN_KEY,Missing ON DELETE CASCADE,Add ON DELETE CASCADE,0.5
packages/db/migrations/20260210_add_domain_transfer_log.sql,6,CRITICAL,FOREIGN_KEY,Missing ON DELETE CASCADE,Add ON DELETE CASCADE,0.5
packages/db/migrations/20260210_add_domain_transfer_log.sql,10,SEVERE,FOREIGN_KEY,Missing ON DELETE action,Add ON DELETE SET NULL,0.5
domains/activity/db/migrations/001_init.sql,10,CRITICAL,JSONB,JSONB column without GIN index,Add GIN index on metadata,1
domains/notifications/db/migrations/001_init.sql,8,CRITICAL,JSONB,JSONB column without GIN index,Add GIN index on payload,1
domains/publishing/db/migrations/001_init.sql,6,CRITICAL,JSONB,JSONB column without GIN index,Add GIN index on config,1
domains/search/db/migrations/001_init.sql,14,CRITICAL,JSONB,JSONB column without GIN index,Add GIN index on fields,1
domains/domains/db/migrations/002_registry_fields.sql,4,CRITICAL,JSONB,JSONB column without GIN index,Add GIN index on custom_config,1
packages/db/migrations/20260210_add_human_intents.sql,6,CRITICAL,JSONB,JSONB without GIN index,Add GIN indexes,1
packages/db/migrations/20260210_add_human_intents.sql,16-17,CRITICAL,JSONB,JSONB without GIN index,Add GIN indexes,1
packages/db/migrations/20260210_add_idempotency_keys.sql,7-9,CRITICAL,JSONB,JSONB without GIN index,Add GIN indexes,1
packages/db/migrations/20260210_add_risk_surfaces.sql,9,CRITICAL,JSONB,JSONB without GIN index,Add GIN index on risk_flags,1
packages/db/migrations/20260211_add_ai_advisory_artifacts.sql,21,CRITICAL,JSONB,JSONB without GIN index,Add GIN index on parameters,1
packages/db/migrations/20260212_add_content_genesis.sql,9,CRITICAL,JSONB,JSONB without GIN index,Add GIN index on llm_parameters,1
packages/db/migrations/20260213_add_llm_models.sql,6,CRITICAL,JSONB,JSONB without GIN index,Add GIN index on capabilities,1
packages/db/migrations/20260221_add_keyword_ingestion_schema.sql,29,CRITICAL,JSONB,JSONB without GIN index,Add GIN index on metrics,1
